POI_TYPE,CATEGORY,POI_NAME,POI_ADD,POSTCODE,XCOORD,YCOORD,LATITUDE,LONGITUDE
SHOPS,Dental ,Q & M DENTAL SURGERY (MARSILING) PTE LTD ,"Block 304, Woodlands Street 31 \357\277\275, #01-121",730304,21382.4716,45735.8569,1.430538,103.77361
SHOPS,Dining,S-11 ,"Block 304, Woodlands Street 31 \357\277\275, #01-125,",730304,21382.4716,45735.8569,1.430538,103.77361
SHOPS,Health & Fitness ,LONG XIU MASSAGE ,"Block 304, Woodlands Street 31 \357\277\275, #01-127",730304,21382.4716,45735.8569,1.430538,103.77361
SHOPS,Dining,SARPINO PIZZERIA ,"Block 326, Woodlands Street 32,#01-105",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Beauty,E LAYER BEAUTY SALON ,"Block 326, Woodlands Street 32 \357\277\275 #01-105",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Home,NISSEI LIGHTNING AND ELECTRICAL ENGINEERING ,"Block 326, Woodlands Street 32 \357\277\275 #01-107,",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Beauty,TC HAIR STUDIO PTE LTD," Block 326, Woodlands Street 32 \357\277\275 #01-109",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Dental Clinic ,WOODGROVE DENTAL SURGERY ,"Block 326, Woodlands Street 32 \357\277\275 #01-111",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Beauty,KLEEN WASH ,"Block 326, Woodlands Street 32 \357\277\275 #01-115",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Chinese Medical Hall ,LONG CHANG TRADITIONAL CHINESE MEDICAL HALL,"Block 326, Woodlands Street 32 \357\277\275 #01-115",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Groceries,LOW NGEE YONG PROVISION SHOP ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Groceries,MENG FRUITS TRADING DISTRIBUTION ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730326,22019.974,45794.2999,1.430436,103.779271
SHOPS,Dining,325 EATING HOUSE ,"Block 325, Woodlands Street 32 \357\277\275, #01-131",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Dining,RITE PIZZA ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Beauty,BEI RONG UNISEX HAIR & BEAUTY SALON ,"Block 325, Woodlands Street 32 \357\277\275, #01-132",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Beauty,SWEETY BEAUTY CENTRE ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Beauty,325 UNISEX HAIR SALON ,"Block 325, Woodlands Street 32 \357\277\275, #01-133",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Shopping,BAU SAN SHENG CENEMONIAL PRODUCT ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Traditional Chinese Medicine,HEALTH CARE TCM THERAPHY CENTRE ,"Block 325, Woodlands Street 32 \357\277\275, #01-134",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Office,CHEVALIER SINGAPORE HOLDINGS PTE LTD ,"Block 326, Woodlands Street 32 \357\277\275 #01-123,",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Beauty,OF MOUSE & MEN ,"Block 325, Woodlands Street 32 \357\277\275, #01-135",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Traditional Chinese Medicine,YEOU CHYUAN ACCUPUNCTURE & CHINESE MEDICINE EMARES ,"Block 325, Woodlands Street 32 \357\277\275, #01-145",730325,22012.77,45834.9555,1.430809,103.779283
SHOPS,Dining,FAIRVIEW FOOD COURT ,"Block 371A, Woodlands Avenue 1 \357\277\275, #01-01",731371,22780.7098,46063.8982,1.432874,103.786442
SHOPS,Dining,HUO SHI XUAN ,"Block 354A, Woodlands Avenue 1 \357\277\275, #01-01",731354,22630.1238,46062.7623,1.432863,103.785087
